StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,regret_yn,decision,regret_intensity_1,regret_regulation,regret_regulation_7_TEXT,rumination,reverse_1,reverse_2,reverse_3,reverse_4,resolved,emo_event,rumination_nr,emotions_1,emotions_2,emotions_3,emotions_4,emotions_5,emotions_6,emotions_7,emotions_8,regret_intensity_1,regret_regulation,regret_regulation_7_TEXT,rumination,reverse_1,reverse_2,reverse_3,reverse_4,resolved,PID,DAY_NUM,SURVEY_TYPE,DECISION_TO_SHOW,NEXT_SURVEY,DECISION
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Is there a specific decision, however minor, that you made since the last ping and that you ended up regretting?",Please briefly describe the decision and the regrettable outcome(s) below.,"How much regret do you currently feel about this decision?

* If you wish to reply with ""0"", please make sure to double-tap/click on the slider at ""0""","Since the last ping, did you use any of the following strategies in an attempt to change how you feel about the decision and the outcome(s) that followed? Please check all that apply. Leave blank if you did not attempt to change how you feel. - Selected Choice","Since the last ping, did you use any of the following strategies in an attempt to change how you feel about the decision and the outcome(s) that followed? Please check all that apply. Leave blank if you did not attempt to change how you feel. - I did something else not listed above (please describe in the field below) - Text","Since the last ping, how much have you thought about the decision you made and/or about the regrettable outcome(s) that followed?","Since the last ping, to what extent did you try to do any of the following to make the situation better? 

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - I tried to directly undo my decision","Since the last ping, to what extent did you try to do any of the following to make the situation better? 

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - I tried to make up for my decision in other ways","Since the last ping, to what extent did you try to do any of the following to make the situation better? 

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - I thought about ways to ensure something similar does not happen in the future","Since the last ping, to what extent did you try to do any of the following to make the situation better? 

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - I tried to make amends with the people involved","Do you think that this situation is completely resolved at this time? In other words, do you think that you are unlikely to feel regret or to spend significant time thinking about this decision in the near future?","Please take a moment to bring to mind a time during which you felt the strongest emotion, either positive or negative, since the last ping.

Briefly describe this moment below.","Since the last ping, how much have you thought about the emotional moment you just described?","Please rate how much you currently feel each of the following emotions

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - Joy","Please rate how much you currently feel each of the following emotions

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - Pride","Please rate how much you currently feel each of the following emotions

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - Anxiety","Please rate how much you currently feel each of the following emotions

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - Anger","Please rate how much you currently feel each of the following emotions

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - Sadness","Please rate how much you currently feel each of the following emotions

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - Contentement","Please rate how much you currently feel each of the following emotions

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - Regret","Please rate how much you currently feel each of the following emotions

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - Disappointment","How much regret do you currently feel about this decision?

* If you wish to reply with ""0"", please make sure to double-tap/click on the slider at ""0""","Since the last ping, did you use any of the following strategies in an attempt to change how you feel about the decision and the outcome(s) that followed? Please check all that apply. Leave blank if you did not attempt to change how you feel. - Selected Choice","Since the last ping, did you use any of the following strategies in an attempt to change how you feel about the decision and the outcome(s) that followed? Please check all that apply. Leave blank if you did not attempt to change how you feel. - I did something else not listed above (please describe in the field below) - Text","Since the last ping, how much have you thought about the decision you made and/or about the regrettable outcome(s) that followed?","Since the last ping, to what extent did you try to do any of the following to make the situation better? 

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - I tried to directly undo my decision","Since the last ping, to what extent did you try to do any of the following to make the situation better? 

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - I tried to make up for my decision in other ways","Since the last ping, to what extent did you try to do any of the following to make the situation better? 

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - I thought about ways to ensure something similar does not happen in the future","Since the last ping, to what extent did you try to do any of the following to make the situation better? 

* If you wish to reply with ""0"" for any of the options, please make sure to double-tap/click on the slider at ""0"" for each one - I tried to make amends with the people involved","Do you think that this situation is completely resolved at this time? In other words, do you think that you are unlikely to feel regret or to spend significant time thinking about this decision in the near future?",PID,DAY_NUM,SURVEY_TYPE,DECISION_TO_SHOW,NEXT_SURVEY,DECISION
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_7_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_7""}","{""ImportId"":""QID12_8""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_7_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID20""}","{""ImportId"":""PID""}","{""ImportId"":""DAY_NUM""}","{""ImportId"":""SURVEY_TYPE""}","{""ImportId"":""DECISION_TO_SHOW""}","{""ImportId"":""NEXT_SURVEY""}","{""ImportId"":""DECISION""}"
2025-04-13 11:47:57,2025-04-13 11:49:09,IP Address,98.47.29.95,100,72,True,2025-04-13 11:49:10,R_7Ozm8NY6Vy4V3t7,Participant,Participant,kpetrova@stanford.edu,000000,37.3177,-122.0438,anonymous,EN,No,,,,,,,,,,,I was playing chess and I kept messing up. My score is going way down,Haven't thought about it at all,17,0,4,0,0,47,0,0,,,,,,,,,,PID,DAY_NUM,,,general,
2025-04-13 11:56:35,2025-04-13 11:58:23,IP Address,98.47.29.95,100,108,True,2025-04-13 11:58:24,R_5Vzjq9pZzk76eKR,Participant,Participant,kpetrova@stanford.edu,PID,37.3177,-122.0438,anonymous,EN,Yes,"I want to go out but my phone is not charged. Now I have to wait for it to charge, and I regret not plugging it in earlier ",13,"I tried to (or made a plan to) change the situation.,I tried to accept the situation and my feelings.",,Thought about it a little,35,0,0,,"Yes, I think this situation is resolved",,,,,,,,,,,,,,,,,,,,PID,DAY_NUM,general,,general,${e://Field/DECISION}
2025-04-13 12:13:25,2025-04-13 12:14:18,IP Address,98.47.29.95,100,53,True,2025-04-13 12:14:19,R_3RV7amlZ2AGc1ZB,Participant,Participant,kpetrova@stanford.edu,111111,37.3177,-122.0438,anonymous,EN,No,,,,,,,,,,,"I was playing chess and I kept messing up because I wasn’t paying attention. Now my score went way down ",Haven't thought about it at all,24,13,6,0,0,44,0,0,,,,,,,,,,111111,0,,,general,
2025-04-13 12:37:05,2025-04-13 12:37:59,IP Address,98.47.29.95,100,53,True,2025-04-13 12:38:00,R_6yRQXUPHKT9JQ65,Participant,Participant,kpetrova@stanford.edu,111111,37.3177,-122.0438,anonymous,EN,Yes,"I regret not setting up the intake survey earlier ",11,"I thought of other ways to interpret the situation.,I tried to accept the situation and my feelings.",,Thought about it a little,24,0,0,0,"Yes, I think this situation is resolved",,,,,,,,,,,,,,,,,,,,111111,0,general,,general,
2025-04-13 13:31:48,2025-04-13 13:33:02,IP Address,98.47.29.95,100,74,True,2025-04-13 13:33:03,R_7Yycrzof3OLcsHD,Participant,Participant,kpetrova@stanford.edu,111111,37.3177,-122.0438,anonymous,EN,Yes,"I didn’t take the coravin out of the bottle after Ashish told me I shouldn’t leave it in ",22,I did something else not listed above (please describe in the field below),"I apologized ",Thought about it a little,,,,32,"Yes, I think this situation is resolved",,,,,,,,,,,,,,,,,,,,111111,0,general,,general,
2025-04-13 15:05:01,2025-04-13 15:06:20,IP Address,98.47.29.95,100,78,True,2025-04-13 15:06:20,R_5TnMGg8zkQ4oTtA,Participant,Participant,kpetrova@stanford.edu,111111,37.3177,-122.0438,anonymous,EN,Yes,I regret not doing more to treat this painful cyst,30,"I tried to distract myself from the event or my emotions.,I tried to (or made a plan to) change the situation.,I turned to someone else for support or comfort.,I tried to accept the situation and my feelings.",,Thought about it a little,,34,,,"No, I might feel regret or think more about this situation in the near future",,,,,,,,,,,,,,,,,,,,111111,0,general,,followup,
2025-04-13 15:41:42,2025-04-13 15:42:09,IP Address,98.47.29.95,100,27,True,2025-04-13 15:42:09,R_60YirR8i0nVh9Cv,Participant,Participant,kpetrova@stanford.edu,111111,37.3177,-122.0438,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,25,"I turned to someone else for support or comfort.,I tried to accept the situation and my feelings.",,Thought about it a little,,0,,,"No, I might feel regret or think more about this situation in the near future",111111,0,followup,,,
2025-04-13 15:41:00,2025-04-13 15:41:00,IP Address,98.47.29.95,67,0,False,2025-04-13 16:41:04,R_3QxqwbC30b9gbJz,Participant,Participant,kpetrova@stanford.edu,111111,37.3177,-122.0438,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,followup,,,
